id,nombre,tipo,area,subarea,descripcion,institucion,pais,idioma,acceso,url,recursos_disp,estado
2,BibloRed – Red Distrital de Bibliotecas Públicas de Bogotá,Biblioteca digital,General,General,"Red de bibliotecas públicas que ofrece acceso a libros electrónicos, audiolibros, revistas, bases de datos, cursos, colecciones digitales y recursos educativos para la comunidad. Esta biblioteca tiene materia de eBooks 7-24",BibloRed,Colombia,Español,Gratuito con registro,https://biblored.gov.co/afiliese-a-biblored,"Libros, videos, bases de datos, revistas, periodicos, multimedia, cursos",Validado
6,Descartes ,Biblioteca digital,General,General,"Comunidad educativa iberoamericana que desarrolla y comparte de forma gratuita recursos digitales interactivos (applets) para la enseñanza de las matemáticas y otras áreas, creados con el editor DescartesJS.",Proyecto Descartes (origen: Ministerio de Educación de España),España,Español,Gratuito,https://proyectodescartes.org/descartescms/,"Recursos interactivos, applets, materiales didácticos",Revisado
7,PruebaT,Repositorio,General,General,"PruébaT es una plataforma educativa en línea desarrollada por la Fundación Carlos Slim, cuyo objetivo es brindar de manera gratuita, experiencias de aprendizaje con el fin de ofrecer y fortalecer conocimientos y habilidades que son indispensables en el siglo XXI.",Fundación Carlos Slim,México,Español,Gratuito con registro,https://pruebat.org/index.php,"Cursos, videos, ejercicios interactivos",Revisado
8,Cokitos,Juegos,General,General,"Plataforma que ofrece juegos educativos gratuitos en línea para practicar matemáticas, lenguaje y otras áreas, dirigidos principalmente a educación básica.",,,Español,Gratuito,https://www.cokitos.com/,Juegos educativos,Revisado
9,thatquiz,Herramienta de evaluación,General,General,"Herramienta gratuita para crear y aplicar pruebas y ejercicios interactivos de matemáticas y otras materias, con corrección automática e informes de resultados.",,,Multilingüe,Gratuito,https://www.thatquiz.org/es/,Pruebas y ejercicios interactivos autocorregibles,Revisado
10,Lean Game Server,Juegos,Matemáticas,Lógica y demostración matemática,"Servidor de juegos interactivos basado en el asistente de pruebas Lean, desarrollado por la Universidad Heinrich Heine de Düsseldorf, donde se aprende a construir demostraciones matemáticas formales jugando (p. ej., el Natural Number Game).",Heinrich-Heine-Universität Düsseldorf (HHU),Alemania,Inglés,Gratuito,https://adam.math.hhu.de/,Juegos de lógica y demostración matemática,Revisado
11,Mathos AI,Herramienta con IA,Matemáticas,General,"Tutor y solucionador de matemáticas basado en inteligencia artificial (también conocido como MathGPTPro), que resuelve y explica paso a paso ejercicios de álgebra, cálculo, geometría y estadística.",,,Inglés,Freemium,https://www.mathos.ai/,"Resolución de ejercicios, tutor con IA",Revisado
12,Academo – Logic Gate Simulator,Simulador interactivo,Matemáticas discretas / Lógica,Circuitos lógicos,"Simulador interactivo gratuito para construir y probar circuitos con puertas lógicas (AND, OR, NOT, XOR, etc.), útil para la enseñanza de lógica proposicional y álgebra booleana.",Academo.org,,Inglés,Gratuito,https://academo.org/demos/logic-gate-simulator/,Simulador de circuitos lógicos,Revisado
13,OpenStax,Biblioteca digital,General,General,"Organización sin ánimo de lucro de la Universidad Rice que publica libros de texto universitarios gratuitos, revisados por pares y con licencia abierta, incluyendo colecciones de matemáticas, estadística y negocios listas para descargar en PDF.",Rice University,Estados Unidos,Español,Gratuito,https://openstax.org/,Libros de texto universitarios,Revisado
14,DOAB – Directory of Open Access Books,Biblioteca digital,General,General,Directorio internacional que indexa y da acceso gratuito a decenas de miles de libros académicos revisados por pares y publicados en acceso abierto por editoriales de confianza de todo el mundo.,DOAB Foundation (OAPEN / OpenEdition),Países Bajos,Multilingüe,Gratuito,https://www.doabooks.org/,Libros académicos,Revisado
15,GeoGebra – Recursos,Simulador interactivo,Matemáticas,General,"Plataforma en línea con más de un millón de recursos matemáticos gratuitos (applets, actividades y libros interactivos) creados por la comunidad global de GeoGebra, además de sus herramientas de geometría, álgebra, hojas de cálculo y estadística.",GeoGebra,Austria,Multilingüe,Gratuito,https://www.geogebra.org/materials,"Applets, actividades interactivas, calculadoras",Revisado
16,Wayground (antes Quizizz),Herramienta de evaluación,General,General,"Plataforma de evaluación gamificada donde los docentes crean quizzes, lecciones interactivas y juegos con retroalimentación y reportes en tiempo real. Cambió su nombre de Quizizz a Wayground en 2025, conservando cuentas, bibliotecas de preguntas y códigos de acceso.",Wayground Inc.,Estados Unidos,Multilingüe,Freemium,https://wayground.com/,"Quizzes, lecciones interactivas, juegos, reportes",Revisado
17,Educaplay,Herramienta de evaluación,General,General,"Plataforma para crear y compartir actividades educativas multimedia (crucigramas, sopas de letras, cuestionarios, relacionar conceptos, entre 14 tipos de actividad). El uso básico es completamente gratuito; el plan Premium quita publicidad y añade informes avanzados e integración LMS.",ADR Formación,España,Multilingüe,Freemium,https://es.educaplay.com/,"Cuestionarios, crucigramas, sopas de letras, juegos de relacionar",Revisado
18,Kahoot!,Herramienta de evaluación,General,General,"Plataforma de juegos de preguntas en vivo tipo concurso, muy popular en el aula. El plan gratuito (Basic) permite crear kahoots con opción múltiple y verdadero/falso, pero limita las partidas a 10 jugadores; los planes de pago (Kahoot+) quitan ese límite y añaden reportes, más tipos de pregunta e IA.",Kahoot!,Noruega,Multilingüe,Freemium,https://kahoot.com/,"Juegos de preguntas en vivo, informes de resultados",Revisado
19,Wordwall,Herramienta de evaluación,General,General,"Herramienta para crear actividades interactivas y para imprimir (más de 30 tipos: quiz, sopa de letras, emparejar, rueda aleatoria, etc.), reutilizando la misma actividad en distintos formatos de juego. La cuenta Básica es gratuita y permite crear hasta 5 actividades; los planes Estándar y Pro (pago) permiten actividades ilimitadas.",Wordwall.net,Reino Unido,Multilingüe,Freemium,https://wordwall.net/es,"Quizzes, juegos de emparejar, ruedas, actividades imprimibles",Revisado
20,Blooket,Herramienta de evaluación,General,General,"Plataforma de juegos de preguntas en equipo con distintos modos de juego (Gold Quest, Tower Defense, etc.) y avatares coleccionables ('Blooks'). El plan gratuito permite crear cuestionarios y jugar partidas en vivo con hasta 60 jugadores; Blooket Plus (de pago) eleva el límite de jugadores y añade reportes e informes más detallados.",Blooket,Estados Unidos,Inglés,Freemium,https://www.blooket.com/,"Juegos de preguntas en equipo, tareas para casa",Revisado
21,Gimkit,Herramienta de evaluación,General,General,"Plataforma de juegos de preguntas en vivo con una economía interna: los estudiantes ganan dinero virtual por respuestas correctas y lo usan para comprar mejoras dentro del juego. El plan gratuito (Basic) permite jugadores ilimitados en los modos destacados, pero solo rota tres modos gratuitos a la vez; Gimkit Pro (de pago) desbloquea todos los modos y análisis completos.","Gimkit, Inc.",Estados Unidos,Inglés,Freemium,https://www.gimkit.com/,"Juegos de preguntas en vivo con economía interna, reportes",Revisado
22,PhET Interactive Simulations,Simulador interactivo,Matemáticas,General,"Proyecto de la Universidad de Colorado Boulder con más de un centenar de simulaciones interactivas gratuitas y basadas en investigación educativa para explorar conceptos de matemáticas, física, química, biología y ciencias de la Tierra de forma visual y manipulable.",University of Colorado Boulder,Estados Unidos,Multilingüe,Gratuito,https://phet.colorado.edu/es/,Simulaciones interactivas de matemáticas y ciencias,Revisado
